"No.","Time","Source","Destination","Protocol","Length","Info"
"1055","4.577716686","192.168.10.10","192.168.20.10","SSHv2","111","Client: Protocol (SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16)"
"1090","4.610295370","192.168.20.10","192.168.10.10","SSHv2","111","Server: Protocol (SSH-2.0-OpenSSH_9.6p1 Ubuntu-3ubuntu13.16)"
"1130","4.611139856","192.168.10.10","192.168.20.10","TCP","1516","59342  >  22 [ACK] Seq=44 Ack=44 Win=64256 Len=1448 TSval=3119120214 TSecr=3568871608 [TCP PDU reassembled in 1132]"
"1132","4.611143066","192.168.10.10","192.168.20.10","SSHv2","156","Client: Key Exchange Init"
"1174","4.667692810","192.168.20.10","192.168.10.10","SSHv2","1188","Server: Key Exchange Init"
"1287","4.839193745","192.168.10.10","192.168.20.10","SSHv2","1276","Client: Diffie-Hellman Key Exchange Init"
